Address,AdjustedPower,WinCount,SectorTotal,SectorActive,SectorFaults,SectorRecoveries,ReputationScore
f022109874,99.72,19310.0,1861272.0,1861264.0,0.0,8.0,951.8957656179158
f081446323,94.71,17199.0,1995536.0,1995526.0,0.0,10.0,947.8223340347
f082762475,94.28,19166.0,1951896.0,1951890.0,0.0,6.0,937.6064322728753
f042559609,95.7,19370.0,1810891.0,1810883.0,0.0,8.0,927.6714829756256
f017440107,94.23,19283.0,1850904.0,1850897.0,0.0,7.0,924.1194817256177
f073149865,97.76,19420.0,1972476.0,1972466.0,1.0,9.0,923.9337914833429
f061818537,82.97,19557.0,1946228.0,1946218.0,0.0,10.0,916.3131928524448
f070910116,88.83,19495.0,1991310.0,1991307.0,0.0,3.0,913.3151343159918
f060097260,92.65,19395.0,1907338.0,1907335.0,0.0,3.0,910.9317777811482
f058048689,97.95,18674.0,1936613.0,1936604.0,1.0,8.0,906.0448731712846
f027504249,99.08,11399.0,1996677.0,1996668.0,0.0,9.0,904.8911102162211
f016782112,94.18,17059.0,1810048.0,1810039.0,0.0,9.0,904.5822899970626
f031438992,91.37,16540.0,1907414.0,1907407.0,0.0,7.0,897.988248448266
f054204266,93.09,15973.0,1815036.0,1815026.0,0.0,10.0,895.8404407914483
f089069711,96.78,12718.0,1975584.0,1975577.0,0.0,7.0,895.1957856930759
f013541547,98.28,11836.0,1930004.0,1929995.0,0.0,9.0,893.3604949983717
f066003706,86.4,17865.0,1829879.0,1829869.0,0.0,10.0,891.2229244758905
f038709628,89.54,17256.0,1968207.0,1968204.0,0.0,3.0,890.4042380937938
f038645185,93.21,18843.0,1714681.0,1714674.0,0.0,7.0,890.2567475287199
f065864978,92.16,17748.0,1865130.0,1865126.0,0.0,4.0,890.1999693484634
f034275165,95.32,15153.0,1891775.0,1891770.0,0.0,5.0,887.3742359066788
f077773963,84.43,16268.0,1978792.0,1978784.0,0.0,8.0,887.367695515297
f034527651,94.59,19717.0,1994538.0,1994535.0,1.0,2.0,885.7370527190468
f097235034,90.7,18969.0,1931234.0,1931224.0,1.0,9.0,885.0721129285627
f079749786,88.39,19049.0,1925909.0,1925898.0,1.0,10.0,880.8018060859265
f083626315,91.72,19197.0,1601091.0,1601081.0,0.0,10.0,880.6468272466619
f029938788,91.33,15465.0,1858243.0,1858236.0,0.0,7.0,878.3251778826813
f025678357,98.32,16308.0,1987673.0,1987668.0,1.0,4.0,875.7433346876417
f018242491,78.33,19841.0,1928343.0,1928338.0,0.0,5.0,874.3253020054406
f015519626,95.4,19756.0,1473711.0,1473702.0,0.0,9.0,871.0107453990768
f061621800,91.8,18893.0,1646015.0,1646009.0,0.0,6.0,867.6278464421868
f063052635,95.93,14348.0,1765309.0,1765302.0,0.0,7.0,867.5602623979081
f093953054,76.45,17758.0,1957043.0,1957035.0,0.0,8.0,867.1116294644283
f080938335,94.77,16444.0,1650298.0,1650290.0,0.0,8.0,865.9656391483982
f015411063,99.52,16833.0,1684664.0,1684662.0,0.0,2.0,865.7417492289222
f023024230,86.32,18999.0,1634458.0,1634448.0,0.0,10.0,864.621351748734
